MARCA ,TEMPORADA ,PROVEEDOR,CATEGORIA ,INFO GRAL.,CODIGO EAN ,DESCRIPCIÓN ,COLOR/WASH,CANTIDAD,ORIGEN,COSTO ESTIMADO ,PVP SUGERIDO B2C,PVP SUGERIDO B2B,MARGEN B2C,MARGEN B2B,FECHA APROXIMADA DE ARRIBO
Martel ,SS25/26,Nomotex,Remera ,,,Remera cuello redondo PIMA,Azul,200,Perú,"$68,450.00","189,000  ","132,300",64%,48%,10/9/2025
Martel ,SS25/26,Nomotex,Remera ,,,Remera cuello redondo PIMA,Beige,100,Perú,"$68,450.00","189,000  ","132,300",64%,48%,10/9/2025
Martel ,SS25/26,Nomotex,Remera ,,,Remera cuello redondo PIMA,Rosa,150,Perú,"$68,450.00","189,000  ","132,300",64%,48%,10/9/2025
Martel ,SS25/26,Nomotex,Remera ,,,Remera cuello redondo PIMA,Gris,100,Perú,"$68,450.00","189,000  ","132,300",64%,48%,10/9/2025
Martel ,SS25/26,Nomotex,Remera ,,,Remera cuello redondo PIMA,Blanco,200,Perú,"$68,450.00","189,000  ","132,300",64%,48%,10/9/2025
Martel ,SS25/26,Nomotex,Remera ,,,Remera cuerrlo redondo a rayas PIMA,Blanco,150,Perú,"$77,394.00","229,000  ","160,300",66%,52%,10/9/2025
Martel ,SS25/26,Nomotex,Remera ,,,Remera cuerrlo redondo a rayas PIMA,Azul marino ,150,Perú,"$77,394.00","229,000  ","160,300",66%,52%,10/9/2025
Martel ,SS25/26,Nomotex,Remera ,,,Polo Interlock PIMA,Blanco,200,Perú,"$83,353.00","269,000  ","188,300",69%,56%,10/9/2025
Martel ,SS25/26,Nomotex,Remera ,,,Polo Interlock PIMA,Negro,200,Perú,"$83,353.00","269,000  ","188,300",69%,56%,10/9/2025
Martel ,SS25/26,Nomotex,Remera ,,,Polo Interlock PIMA,Azul Marino ,200,Perú,"$83,353.00","269,000  ","188,300",69%,56%,10/9/2025
Martel ,SS25/26,Nomotex,Remera ,,,Polo Interlock PIMA,Celeste,200,Perú,"$83,353.00","269,000  ","188,300",69%,56%,10/9/2025
Martel ,SS25/26,Nomotex,Remera ,,,Polo Interlock PIMA,Verde,200,Perú,"$83,353.00","269,000  ","188,300",69%,56%,10/9/2025
Wrangler,SS25/26,Cotton Club,Remera ,,,Stranger Things TEE ,Washed Black ,108,Bangladesh ,"$75,971.00","229,000  ","176,000",67%,57%,10/9/2025
Wrangler,SS25/26,Cotton Club,Remera ,,,BRADLEY'S BIG BUY TEE,Washed Black ,108,Bangladesh ,"$75,971.00","229,000  ","176,000",67%,57%,10/9/2025
Wrangler,SS25/26,Cotton Club,Remera ,,,HAWKINS HIGH TEE,Retro White,108,Bangladesh ,"$75,971.00","229,000  ","176,000",67%,57%,10/9/2025
Wrangler,SS25/26,Cotton Club,Remera ,,,KEEP ON RUNNIN' TEE,Retro White,108,Bangladesh ,"$75,971.00","229,000  ","176,000",67%,57%,10/9/2025
Wrangler,SS25/26,Cotton Club,Remera ,,,WSKQ REG FIT TEE ,Retro White,108,Bangladesh ,"$63,309.00","189,000  ","145,200",67%,56%,10/9/2025
Wrangler,SS25/26,Cotton Club,Remera ,,,Stranger Things TEE ,Retro White,108,Bangladesh ,"$63,309.00","189,000  ","145,200",67%,56%,10/9/2025
Martel ,SS25/26,TIMEKOL,Short ,,,Short de baño liso ,Rojo ,230,Bangladesh ,$7.84,"165,000  ","115,500",68%,52%,11/3/2025
Martel ,SS25/26,TIMEKOL,Short ,,,Short de baño liso ,Verde Oliva ,230,Bangladesh ,$7.84,"165,000  ","115,500",68%,52%,11/3/2025
Martel ,SS25/26,TIMEKOL,Short ,,,Short de baño liso ,Azul Marino ,230,Bangladesh ,$7.84,"165,000  ","115,500",68%,52%,11/3/2025
